region	unit	country	wikidata
Arabia	Arabia	Bahrain	http://www.wikidata.org/entity/Q398
Arabia	Arabia	Oman	http://www.wikidata.org/entity/Q842
Arabia	Arabia	Qatar	http://www.wikidata.org/entity/Q846
Arabia	Arabia	Saudi Arabia	http://www.wikidata.org/entity/Q851
Arabia	Arabia	United Arab Emirates	http://www.wikidata.org/entity/Q878
Arabia	Arabia	Yemen	http://www.wikidata.org/entity/Q805
Central Zagros, Iran	Central Zagros, Iran	Iran	http://www.wikidata.org/entity/Q794
Central Zagros/Khuzestan, Iran	Central Zagros	Iran	http://www.wikidata.org/entity/Q794
Central Zagros/Khuzestan, Iran	Khuzestan, Iran	Iran	http://www.wikidata.org/entity/Q794
Cyrenaica	Cyrenaica	Libya	http://www.wikidata.org/entity/Q1016
Cyrenaica/Egypt	Cyrenaica	Libya	http://www.wikidata.org/entity/Q1016
Cyrenaica/Egypt	Egypt	Egypt	http://www.wikidata.org/entity/Q79
Egypt	Egypt	Egypt	http://www.wikidata.org/entity/Q79
Iran	Iran	Iran	http://www.wikidata.org/entity/Q794
Iraq	Iraq	Iraq	http://www.wikidata.org/entity/Q796
Khuzestan	Khuzestan	Iran	http://www.wikidata.org/entity/Q794
Khuzestan, Iran	Khuzestan, Iran	Iran	http://www.wikidata.org/entity/Q794
Khuzestan/Southwest Iran	Khuzestan	Iran	http://www.wikidata.org/entity/Q794
Khuzestan/Southwest Iran	Southwest Iran	Iran	http://www.wikidata.org/entity/Q794
Levant	Levant	Israel	http://www.wikidata.org/entity/Q801
Levant	Levant	Jordan	http://www.wikidata.org/entity/Q810
Levant	Levant	Lebanon	http://www.wikidata.org/entity/Q822
Levant	Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Levant	Levant	Syria	http://www.wikidata.org/entity/Q858
Levant/Arabia	Arabia	Bahrain	http://www.wikidata.org/entity/Q398
Levant/Arabia	Arabia	Oman	http://www.wikidata.org/entity/Q842
Levant/Arabia	Arabia	Qatar	http://www.wikidata.org/entity/Q846
Levant/Arabia	Arabia	Saudi Arabia	http://www.wikidata.org/entity/Q851
Levant/Arabia	Arabia	United Arab Emirates	http://www.wikidata.org/entity/Q878
Levant/Arabia	Arabia	Yemen	http://www.wikidata.org/entity/Q805
Levant/Arabia	Levant	Israel	http://www.wikidata.org/entity/Q801
Levant/Arabia	Levant	Jordan	http://www.wikidata.org/entity/Q810
Levant/Arabia	Levant	Lebanon	http://www.wikidata.org/entity/Q822
Levant/Arabia	Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Levant/Arabia	Levant	Syria	http://www.wikidata.org/entity/Q858
Levant/Arabia/Mesopotamia	Arabia	Bahrain	http://www.wikidata.org/entity/Q398
Levant/Arabia/Mesopotamia	Arabia	Oman	http://www.wikidata.org/entity/Q842
Levant/Arabia/Mesopotamia	Arabia	Qatar	http://www.wikidata.org/entity/Q846
Levant/Arabia/Mesopotamia	Arabia	Saudi Arabia	http://www.wikidata.org/entity/Q851
Levant/Arabia/Mesopotamia	Arabia	United Arab Emirates	http://www.wikidata.org/entity/Q878
Levant/Arabia/Mesopotamia	Arabia	Yemen	http://www.wikidata.org/entity/Q805
Levant/Arabia/Mesopotamia	Levant	Israel	http://www.wikidata.org/entity/Q801
Levant/Arabia/Mesopotamia	Levant	Jordan	http://www.wikidata.org/entity/Q810
Levant/Arabia/Mesopotamia	Levant	Lebanon	http://www.wikidata.org/entity/Q822
Levant/Arabia/Mesopotamia	Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Levant/Arabia/Mesopotamia	Levant	Syria	http://www.wikidata.org/entity/Q858
Levant/Arabia/Mesopotamia	Mesopotamia	Iraq	http://www.wikidata.org/entity/Q796
Levant/Arabia/Mesopotamia	Mesopotamia	Kuwait	https://www.wikidata.org/wiki/Q817
Levant/Arabia/Mesopotamia	Mesopotamia	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia	Levant	Israel	http://www.wikidata.org/entity/Q801
Levant/Mesopotamia	Levant	Jordan	http://www.wikidata.org/entity/Q810
Levant/Mesopotamia	Levant	Lebanon	http://www.wikidata.org/entity/Q822
Levant/Mesopotamia	Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Levant/Mesopotamia	Levant	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia	Mesopotamia	Iraq	http://www.wikidata.org/entity/Q796
Levant/Mesopotamia	Mesopotamia	Kuwait	https://www.wikidata.org/wiki/Q817
Levant/Mesopotamia	Mesopotamia	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia/Arabia	Arabia	Bahrain	http://www.wikidata.org/entity/Q398
Levant/Mesopotamia/Arabia	Arabia	Oman	http://www.wikidata.org/entity/Q842
Levant/Mesopotamia/Arabia	Arabia	Qatar	http://www.wikidata.org/entity/Q846
Levant/Mesopotamia/Arabia	Arabia	Saudi Arabia	http://www.wikidata.org/entity/Q851
Levant/Mesopotamia/Arabia	Arabia	United Arab Emirates	http://www.wikidata.org/entity/Q878
Levant/Mesopotamia/Arabia	Arabia	Yemen	http://www.wikidata.org/entity/Q805
Levant/Mesopotamia/Arabia	Levant	Israel	http://www.wikidata.org/entity/Q801
Levant/Mesopotamia/Arabia	Levant	Jordan	http://www.wikidata.org/entity/Q810
Levant/Mesopotamia/Arabia	Levant	Lebanon	http://www.wikidata.org/entity/Q822
Levant/Mesopotamia/Arabia	Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Levant/Mesopotamia/Arabia	Levant	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia/Arabia	Mesopotamia	Iraq	http://www.wikidata.org/entity/Q796
Levant/Mesopotamia/Arabia	Mesopotamia	Kuwait	https://www.wikidata.org/wiki/Q817
Levant/Mesopotamia/Arabia	Mesopotamia	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia/Iran	Iran	Iran	http://www.wikidata.org/entity/Q794
Levant/Mesopotamia/Iran	Levant	Israel	http://www.wikidata.org/entity/Q801
Levant/Mesopotamia/Iran	Levant	Jordan	http://www.wikidata.org/entity/Q810
Levant/Mesopotamia/Iran	Levant	Lebanon	http://www.wikidata.org/entity/Q822
Levant/Mesopotamia/Iran	Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Levant/Mesopotamia/Iran	Levant	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia/Iran	Mesopotamia	Iraq	http://www.wikidata.org/entity/Q796
Levant/Mesopotamia/Iran	Mesopotamia	Kuwait	https://www.wikidata.org/wiki/Q817
Levant/Mesopotamia/Iran	Mesopotamia	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia/Iran/Northern Arabia	Iran	Iran	http://www.wikidata.org/entity/Q794
Levant/Mesopotamia/Iran/Northern Arabia	Levant	Israel	http://www.wikidata.org/entity/Q801
Levant/Mesopotamia/Iran/Northern Arabia	Levant	Jordan	http://www.wikidata.org/entity/Q810
Levant/Mesopotamia/Iran/Northern Arabia	Levant	Lebanon	http://www.wikidata.org/entity/Q822
Levant/Mesopotamia/Iran/Northern Arabia	Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Levant/Mesopotamia/Iran/Northern Arabia	Levant	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia/Iran/Northern Arabia	Mesopotamia	Iraq	http://www.wikidata.org/entity/Q796
Levant/Mesopotamia/Iran/Northern Arabia	Mesopotamia	Kuwait	https://www.wikidata.org/wiki/Q817
Levant/Mesopotamia/Iran/Northern Arabia	Mesopotamia	Syria	http://www.wikidata.org/entity/Q858
Levant/Mesopotamia/Iran/Northern Arabia	Northern Arabia	Saudi Arabia	http://www.wikidata.org/entity/Q851
Levant/Northern Arabia	Levant	Israel	http://www.wikidata.org/entity/Q801
Levant/Northern Arabia	Levant	Jordan	http://www.wikidata.org/entity/Q810
Levant/Northern Arabia	Levant	Lebanon	http://www.wikidata.org/entity/Q822
Levant/Northern Arabia	Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Levant/Northern Arabia	Levant	Syria	http://www.wikidata.org/entity/Q858
Levant/Northern Arabia	Northern Arabia	Saudi Arabia	http://www.wikidata.org/entity/Q851
Maghreb	Maghreb	Algeria	http://www.wikidata.org/entity/Q262
Maghreb	Maghreb	Libya	http://www.wikidata.org/entity/Q1016
Maghreb	Maghreb	Mauritania	http://www.wikidata.org/entity/Q1025
Maghreb	Maghreb	Morocco	http://www.wikidata.org/entity/Q1028
Maghreb	Maghreb	Tunisia	http://www.wikidata.org/entity/Q948
Maghreb	Maghreb	Western Sahara	https://www.wikidata.org/wiki/Q6250
Mauritania	Mauritania	Mauritania	http://www.wikidata.org/entity/Q1025
MENA	MENA	Algeria	http://www.wikidata.org/entity/Q262
MENA	MENA	Bahrain	http://www.wikidata.org/entity/Q398
MENA	MENA	Egypt	http://www.wikidata.org/entity/Q79
MENA	MENA	Iran	http://www.wikidata.org/entity/Q794
MENA	MENA	Iraq	http://www.wikidata.org/entity/Q796
MENA	MENA	Israel	http://www.wikidata.org/entity/Q801
MENA	MENA	Jordan	http://www.wikidata.org/entity/Q810
MENA	MENA	Kuwait	https://www.wikidata.org/wiki/Q817
MENA	MENA	Lebanon	http://www.wikidata.org/entity/Q822
MENA	MENA	Libya	http://www.wikidata.org/entity/Q1016
MENA	MENA	Mauritania	http://www.wikidata.org/entity/Q1025
MENA	MENA	Morocco	http://www.wikidata.org/entity/Q1028
MENA	MENA	Oman	http://www.wikidata.org/entity/Q842
MENA	MENA	Palestine	https://www.wikidata.org/wiki/Q219060
MENA	MENA	Qatar	http://www.wikidata.org/entity/Q846
MENA	MENA	Saudi Arabia	http://www.wikidata.org/entity/Q851
MENA	MENA	Syria	http://www.wikidata.org/entity/Q858
MENA	MENA	Tunisia	http://www.wikidata.org/entity/Q948
MENA	MENA	United Arab Emirates	http://www.wikidata.org/entity/Q878
MENA	MENA	Western Sahara	https://www.wikidata.org/wiki/Q6250
MENA	MENA	Yemen	http://www.wikidata.org/entity/Q805
Mesopotamia	Mesopotamia	Iraq	http://www.wikidata.org/entity/Q796
Mesopotamia	Mesopotamia	Kuwait	https://www.wikidata.org/wiki/Q817
Mesopotamia	Mesopotamia	Syria	http://www.wikidata.org/entity/Q858
North Africa	North Africa	Algeria	http://www.wikidata.org/entity/Q262
North Africa	North Africa	Egypt	http://www.wikidata.org/entity/Q79
North Africa	North Africa	Libya	http://www.wikidata.org/entity/Q1016
North Africa	North Africa	Mauritania	http://www.wikidata.org/entity/Q1025
North Africa	North Africa	Morocco	http://www.wikidata.org/entity/Q1028
North Africa	North Africa	Tunisia	http://www.wikidata.org/entity/Q948
North Africa	North Africa	Western Sahara	https://www.wikidata.org/wiki/Q6250
North Central Iran	North Central Iran	Iran	http://www.wikidata.org/entity/Q794
Northeast Iran	Northeast Iran	Iran	http://www.wikidata.org/entity/Q794
Northern Iran	Northern Iran	Iran	http://www.wikidata.org/entity/Q794
Northern Levant	Northern Levant	Lebanon	http://www.wikidata.org/entity/Q822
Northern Levant	Northern Levant	Syria	http://www.wikidata.org/entity/Q858
Northern Mesopotamia	Northern Mesopotamia	Iraq	http://www.wikidata.org/entity/Q796
Northern Mesopotamia	Northern Mesopotamia	Syria	http://www.wikidata.org/entity/Q858
Northwest Iran	Northwest Iran	Iran	http://www.wikidata.org/entity/Q794
South Levant	South Levant	Israel	http://www.wikidata.org/entity/Q801
South Levant	South Levant	Jordan	http://www.wikidata.org/entity/Q810
South Levant	South Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Southeast Iran	Southeast Iran	Iran	http://www.wikidata.org/entity/Q794
Southern Arabia	Southern Arabia	Yemen	http://www.wikidata.org/entity/Q805
Southern Iran	Southern Iran	Iran	http://www.wikidata.org/entity/Q794
Southern Levant	Southern Levant	Israel	http://www.wikidata.org/entity/Q801
Southern Levant	Southern Levant	Jordan	http://www.wikidata.org/entity/Q810
Southern Levant	Southern Levant	Palestine	https://www.wikidata.org/wiki/Q219060
Southern Mesopotamia	Southern Mesopotamia	Iraq	http://www.wikidata.org/entity/Q796
Southern Mesopotamia	Southern Mesopotamia	Kuwait	https://www.wikidata.org/wiki/Q817
Southern Zagros, Iran	Southern Zagros, Iran	Iran	http://www.wikidata.org/entity/Q794
Southwest Iran	Southwest Iran	Iran	http://www.wikidata.org/entity/Q794